50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
,10.4,,,20.19,,,,,,9.79
5.9,10.45,15.13,18.12,20.19,4.55,4.68,5.06,2.07,9.23,9.74
5.75,10.31,15.11,18.12,20.19,4.56,4.8,5.08,2.07,9.36,9.88
5.87,10.46,15.15,18.14,20.2,4.59,4.69,5.05,2.06,9.28,9.74
,10.44,,,20.2,,,,,,9.76
,10.69,15.28,18.19,20.2,,4.59,4.92,2.01,,9.51
,10.72,15.44,18.29,20.2,,4.72,4.76,1.91,,9.48
,10.1,,,20.2,,,,,,10.1
,10.3,,,20.2,,,,,,9.9
,10.3,,,20.2,,,,,,9.9
5.79,10.41,15.17,18.16,20.2,4.62,4.76,5.03,2.04,9.38,9.79
5.9,10.4,15.17,18.16,20.2,4.5,4.77,5.03,2.04,9.27,9.8
,10.28,,,20.2,,,,,,9.92
6,10.7,15.4,18.27,20.2,4.7,4.7,4.8,1.93,9.4,9.5
5.81,10.33,15.02,18.07,20.2,4.52,4.69,5.18,2.13,9.21,9.87
5.81,10.3,15.01,18.07,20.2,4.49,4.71,5.19,2.13,9.2,9.9
5.91,10.36,15.08,18.1,20.2,4.45,4.72,5.12,2.1,9.17,9.84
5.96,10.51,15.22,18.18,20.2,4.55,4.71,4.98,2.02,9.26,9.69
5.77,10.3,15.05,18.09,20.2,4.53,4.75,5.15,2.11,9.28,9.9
,10.2,,,20.2,,,,,,10
,10.2,,,20.2,,,,,,10
,10.5,,,20.2,,,,,,9.7
,10.43,,,20.21,,,,,,9.78
5.83,10.39,15.13,18.14,20.21,4.56,4.74,5.08,2.07,9.3,9.82
,10.5,,,20.21,,,,,,9.71
,10.41,,,20.21,,,,,,9.8
5.78,10.31,15.06,18.1,20.21,4.53,4.75,5.15,2.11,9.28,9.9
,10.54,,,20.21,,,,,,9.67
5.84,10.49,15.22,18.18,20.21,4.65,4.73,4.99,2.03,9.38,9.72
,10.6,,,20.21,,,,,,9.61
5.79,10.42,15.16,18.15,20.21,4.63,4.74,5.05,2.06,9.37,9.79
5.88,10.43,15.13,18.13,20.21,4.55,4.7,5.08,2.08,9.25,9.78
5.94,10.57,15.31,18.23,20.21,4.63,4.74,4.9,1.98,9.37,9.64
5.73,10.37,15.19,18.18,20.21,4.64,4.82,5.02,2.03,9.46,9.84
,10.48,15.11,18.12,20.22,,4.63,5.11,2.1,,9.74
,10.5,,,20.22,,,,,,9.72
,10.5,15.22,18.19,20.22,,4.72,5,2.03,,9.72
,10.58,15.2,18.16,20.22,,4.62,5.02,2.06,,9.64
6.06,10.71,15.26,18.19,20.22,4.65,4.55,4.96,2.03,9.2,9.51
,10.39,,,20.22,,,,,,9.83
5.85,10.36,15.03,18.08,20.22,4.51,4.67,5.19,2.14,9.18,9.86
,10.52,15.25,18.2,20.22,,4.73,4.97,2.02,,9.7
5.8,10.35,15.09,18.12,20.22,4.55,4.74,5.13,2.1,9.29,9.87
5.8,10.5,15.2,18.17,20.22,4.7,4.7,5.02,2.05,9.4,9.72
5.82,10.4,15.12,18.13,20.22,4.58,4.72,5.1,2.09,9.3,9.82
,10.6,,,20.22,,,,,,9.62
,10.49,,,20.22,,,,,,9.73
,10.26,15.03,18.09,20.22,,4.77,5.19,2.13,,9.96
,10.55,,,20.23,,,,,,9.68
,10.38,,,20.23,,,,,,9.85
5.87,10.52,15.22,18.19,20.23,4.65,4.7,5.01,2.04,9.35,9.71
5.95,10.53,15.25,18.21,20.23,4.58,4.72,4.98,2.02,9.3,9.7
,10.31,,,20.23,,,,,,9.92
5.83,10.42,15.17,18.17,20.23,4.59,4.75,5.06,2.06,9.34,9.81
5.74,10.3,15.08,18.13,20.23,4.56,4.78,5.15,2.1,9.34,9.93
,10.4,,,20.23,,,,,,9.83
5.78,10.37,15.14,18.16,20.23,4.59,4.77,5.09,2.07,9.36,9.86
5.76,10.34,15.1,18.13,20.23,4.58,4.76,5.13,2.1,9.34,9.89
5.9,10.5,15.2,18.18,20.23,4.6,4.7,5.03,2.05,9.3,9.73
5.78,10.4,15.04,18.09,20.23,4.62,4.64,5.19,2.14,9.26,9.83
5.95,10.58,15.3,18.23,20.23,4.63,4.72,4.93,2,9.35,9.65
,10.51,,,20.23,,,,,,9.72
5.8,10.4,15.18,18.18,20.23,4.6,4.78,5.05,2.05,9.38,9.83
5.84,10.45,15.21,18.2,20.24,4.61,4.76,5.03,2.04,9.37,9.79
5.87,10.52,15.28,18.23,20.24,4.65,4.76,4.96,2.01,9.41,9.72
5.88,10.46,15.26,18.23,20.24,4.58,4.8,4.98,2.01,9.38,9.78
5.88,10.42,15.19,18.19,20.24,4.54,4.77,5.05,2.05,9.31,9.82
,10.8,,,20.24,,,,,,9.44
5.74,10.4,15.13,18.15,20.24,4.66,4.73,5.11,2.09,9.39,9.84
5.95,10.51,15.27,18.23,20.24,4.56,4.76,4.97,2.01,9.32,9.73
,10.66,,,20.25,,,,,,9.59
5.91,10.58,15.25,18.21,20.25,4.67,4.67,5,2.04,9.34,9.67
5.89,10.4,15.15,18.17,20.25,4.51,4.75,5.1,2.08,9.26,9.85
,10.6,,,20.25,,,,,,9.65
5.77,10.37,15.14,18.17,20.25,4.6,4.77,5.11,2.08,9.37,9.88
6,10.6,15.3,18.24,20.25,4.6,4.7,4.95,2.01,9.3,9.65
6,10.6,15.3,18.24,20.25,4.6,4.7,4.95,2.01,9.3,9.65
5.8,10.4,15.1,18.14,20.25,4.6,4.7,5.15,2.11,9.3,9.85
5.9,10.5,15.1,18.12,20.25,4.6,4.6,5.15,2.13,9.2,9.75
,10.55,,,20.25,,,,,,9.7
5.82,10.46,15.2,18.19,20.25,4.64,4.74,5.05,2.06,9.38,9.79
,10.29,15.18,18.21,20.26,,4.89,5.08,2.05,,9.97
,10.43,,,20.26,,,,,,9.83
,10.4,,,20.26,,,,,,9.86
5.91,10.47,15.15,18.16,20.26,4.56,4.68,5.11,2.1,9.24,9.79
5.71,10.27,15.09,18.15,20.26,4.56,4.82,5.17,2.11,9.38,9.99
5.77,10.33,15.1,18.15,20.26,4.56,4.77,5.16,2.11,9.33,9.93
,10.49,,,20.26,,,,,,9.77
5.78,10.34,15.15,18.18,20.26,4.56,4.81,5.11,2.08,9.37,9.92
,10.58,,,20.26,,,,,,9.68
5.86,10.43,15.17,18.18,20.26,4.57,4.74,5.09,2.08,9.31,9.83
6.01,10.66,15.36,18.28,20.26,4.65,4.7,4.9,1.98,9.35,9.6
6,10.58,15.2,18.18,20.26,4.58,4.62,5.06,2.08,9.2,9.68
5.74,10.38,15.18,18.19,20.26,4.64,4.8,5.08,2.07,9.44,9.88
,10.5,,,20.27,,,,,,9.77
,10.43,,,20.27,,,,,,9.84
5.92,10.58,15.27,18.23,20.27,4.66,4.69,5,2.04,9.35,9.69
5.98,10.51,15.24,18.22,20.27,4.53,4.73,5.03,2.05,9.26,9.76
5.84,10.44,15.2,18.2,20.27,4.6,4.76,5.07,2.07,9.36,9.83
5.82,10.44,15.22,18.22,20.27,4.62,4.78,5.05,2.05,9.4,9.83
5.89,10.41,15.15,18.18,20.27,4.52,4.74,5.12,2.09,9.26,9.86
5.97,10.62,15.32,18.26,20.27,4.65,4.7,4.95,2.01,9.35,9.65
5.88,10.54,15.24,18.22,20.27,4.66,4.7,5.03,2.05,9.36,9.73
,10.36,,,20.27,,,,,,9.91
6,10.57,15.25,18.22,20.27,4.57,4.68,5.02,2.05,9.25,9.7
6,10.6,15.33,18.27,20.27,4.6,4.73,4.94,2,9.33,9.67
5.87,10.43,15.16,18.18,20.27,4.56,4.73,5.11,2.09,9.29,9.84
,10.15,15.17,18.22,20.27,,5.02,5.1,2.05,,10.12
5.84,10.47,15.25,18.24,20.28,4.63,4.78,5.03,2.04,9.41,9.81
5.88,10.38,15.15,18.18,20.28,4.5,4.77,5.13,2.1,9.27,9.9
5.84,10.37,15.18,18.21,20.28,4.53,4.81,5.1,2.07,9.34,9.91
5.96,10.5,15.26,18.24,20.28,4.54,4.76,5.02,2.04,9.3,9.78
5.85,10.43,15.21,18.22,20.28,4.58,4.78,5.07,2.06,9.36,9.85
5.82,10.4,15.15,18.18,20.28,4.58,4.75,5.13,2.1,9.33,9.88
5.78,10.3,15.06,18.14,20.28,4.52,4.76,5.22,2.14,9.28,9.98
5.94,10.63,15.34,18.28,20.28,4.69,4.71,4.94,2,9.4,9.65
5.79,10.34,15.08,18.14,20.28,4.55,4.74,5.2,2.14,9.29,9.94
5.84,10.39,15.15,18.18,20.28,4.55,4.76,5.13,2.1,9.31,9.89
5.91,10.5,15.24,18.23,20.28,4.59,4.74,5.04,2.05,9.33,9.78
,10.48,,,20.28,,,,,,9.8
,10.52,,,20.28,,,,,,9.76
5.82,10.53,15.17,18.18,20.28,4.71,4.64,5.11,2.1,9.35,9.75
5.9,10.67,15.24,18.21,20.28,4.77,4.57,5.04,2.07,9.34,9.61
5.86,10.55,15.24,18.22,20.28,4.69,4.69,5.04,2.06,9.38,9.73
,10.42,,,20.29,,,,,,9.87
,10.46,15.19,18.21,20.29,,4.73,5.1,2.08,,9.83
,10.56,15.29,18.26,20.29,,4.73,5,2.03,,9.73
5.82,10.43,15.16,18.19,20.29,4.61,4.73,5.13,2.1,9.34,9.86
,10.4,,,20.29,,,,,,9.89
5.9,10.4,15.2,18.22,20.29,4.5,4.8,5.09,2.07,9.3,9.89
,10.56,,,20.29,,,,,,9.73
,10.44,,,20.29,,,,,,9.85
,10.58,,,20.29,,,,,,9.71
6.38,10.53,15.34,18.29,20.29,4.15,4.81,4.95,2,8.96,9.76
5.99,10.61,15.34,18.28,20.29,4.62,4.73,4.95,2.01,9.35,9.68
5.78,10.43,15.2,18.22,20.29,4.65,4.77,5.09,2.07,9.42,9.86
5.93,10.52,15.26,18.24,20.29,4.59,4.74,5.03,2.05,9.33,9.77
,10.1,,,20.3,,,,,,10.2
,10.67,15.41,18.33,20.3,,4.74,4.89,1.97,,9.63
,10.47,,,20.3,,,,,,9.83
,10.38,,,20.3,,,,,,9.92
,10.46,,,20.3,,,,,,9.84
,10.46,15.18,18.2,20.3,,4.72,5.12,2.1,,9.84
5.89,10.44,15.22,18.23,20.3,4.55,4.78,5.08,2.07,9.33,9.86
5.84,10.42,15.19,18.22,20.3,4.58,4.77,5.11,2.08,9.35,9.88
5.76,10.3,15.03,18.13,20.3,4.54,4.73,5.27,2.17,9.27,10
6.08,10.63,15.33,18.28,20.3,4.55,4.7,4.97,2.02,9.25,9.67
6,10.6,15.4,18.33,20.3,4.6,4.8,4.9,1.97,9.4,9.7
,10.59,,,20.3,,,,,,9.71
,10.5,,,20.3,,,,,,9.8
,10.51,,,20.3,,,,,,9.79
5.88,10.44,15.2,18.22,20.3,4.56,4.76,5.1,2.08,9.32,9.86
5.77,10.39,15.13,18.18,20.3,4.62,4.74,5.17,2.12,9.36,9.91
5.84,10.44,15.18,18.21,20.3,4.6,4.74,5.12,2.09,9.34,9.86
5.84,10.51,15.31,18.28,20.3,4.67,4.8,4.99,2.02,9.47,9.79
5.9,10.53,15.28,18.26,20.3,4.63,4.75,5.02,2.04,9.38,9.77
,10.7,,,20.3,,,,,,9.6
5.62,10.2,15.06,18.16,20.3,4.58,4.86,5.24,2.14,9.44,10.1
,10.5,,,20.31,,,,,,9.81
,10.67,15.41,18.33,20.31,,4.74,4.9,1.98,,9.64
6.01,10.7,15.34,18.28,20.31,4.69,4.64,4.97,2.03,9.33,9.61
,10.49,15.12,18.17,20.31,,4.63,5.19,2.14,,9.82
,10.77,15.54,18.4,20.31,,4.77,4.77,1.91,,9.54
5.93,10.57,15.27,18.25,20.31,4.64,4.7,5.04,2.06,9.34,9.74
5.81,10.38,15.16,18.21,20.31,4.57,4.78,5.15,2.1,9.35,9.93
5.64,10.23,14.98,18.11,20.31,4.59,4.75,5.33,2.2,9.34,10.08
,10.5,,,20.31,,,,,,9.81
5.89,10.5,15.24,18.24,20.31,4.61,4.74,5.07,2.07,9.35,9.81
5.9,10.5,15.3,18.28,20.31,4.6,4.8,5.01,2.03,9.4,9.81
5.82,10.39,15.18,18.22,20.31,4.57,4.79,5.13,2.09,9.36,9.92
,10.58,,,20.31,,,,,,9.73
6.04,10.68,15.38,18.31,20.31,4.64,4.7,4.93,2,9.34,9.63
6.02,10.68,15.4,18.32,20.31,4.66,4.72,4.91,1.99,9.38,9.63
6.03,10.66,15.41,18.33,20.31,4.63,4.75,4.9,1.98,9.38,9.65
,10.37,,,20.32,,,,,,9.95
5.89,10.51,15.22,18.23,20.32,4.62,4.71,5.1,2.09,9.33,9.81
5.89,10.46,15.22,18.24,20.32,4.57,4.76,5.1,2.08,9.33,9.86
5.7,10.3,15.13,18.2,20.32,4.6,4.83,5.19,2.12,9.43,10.02
5.8,10.39,15.19,18.23,20.32,4.59,4.8,5.13,2.09,9.39,9.93
5.91,10.51,15.3,18.28,20.32,4.6,4.79,5.02,2.04,9.39,9.81
5.9,10.5,15.2,18.22,20.32,4.6,4.7,5.12,2.1,9.3,9.82
5.92,10.59,15.31,18.28,20.32,4.67,4.72,5.01,2.04,9.39,9.73
5.96,10.52,15.28,18.27,20.32,4.56,4.76,5.04,2.05,9.32,9.8
5.89,10.48,15.28,18.28,20.32,4.59,4.8,5.04,2.04,9.39,9.84
5.85,10.49,15.24,18.25,20.33,4.64,4.75,5.09,2.08,9.39,9.84
,10.64,,,20.33,,,,,,9.69
,10.41,15.19,18.23,20.33,,4.78,5.14,2.1,,9.92
5.9,10.42,15.19,18.23,20.33,4.52,4.77,5.14,2.1,9.29,9.91
5.88,10.5,15.28,18.28,20.33,4.62,4.78,5.05,2.05,9.4,9.83
5.82,10.42,15.22,18.25,20.33,4.6,4.8,5.11,2.08,9.4,9.91
5.78,10.35,15.15,18.21,20.33,4.57,4.8,5.18,2.12,9.37,9.98
5.89,10.54,15.29,18.28,20.33,4.65,4.75,5.04,2.05,9.4,9.79
5.88,10.47,15.24,18.26,20.33,4.59,4.77,5.09,2.07,9.36,9.86
,10.81,,,20.33,,,,,,9.52
5.95,10.54,15.32,18.3,20.33,4.59,4.78,5.01,2.03,9.37,9.79
5.93,10.58,15.32,18.29,20.33,4.65,4.74,5.01,2.04,9.39,9.75
5.92,10.56,15.3,18.28,20.33,4.64,4.74,5.03,2.05,9.38,9.77
5.84,10.44,15.2,18.23,20.33,4.6,4.76,5.13,2.1,9.36,9.89
,10.36,,,20.34,,,,,,9.98
,10.42,,,20.34,,,,,,9.92
,10.63,,,20.34,,,,,,9.71
,10.7,15.44,18.36,20.34,,4.74,4.9,1.98,,9.64
,10.55,15.29,18.28,20.34,,4.74,5.05,2.06,,9.79
,10.5,,,20.34,,,,,,9.84
5.84,10.43,15.2,18.24,20.34,4.59,4.77,5.14,2.1,9.36,9.91
5.91,10.55,15.31,18.3,20.34,4.64,4.76,5.03,2.04,9.4,9.79
5.91,10.45,15.27,18.28,20.34,4.54,4.82,5.07,2.06,9.36,9.89
5.9,10.5,15.4,18.36,20.34,4.6,4.9,4.94,1.98,9.5,9.84
,10.48,,,20.34,,,,,,9.86
5.95,10.55,15.33,18.31,20.34,4.6,4.78,5.01,2.03,9.38,9.79
5.94,10.62,15.33,18.3,20.34,4.68,4.71,5.01,2.04,9.39,9.72
,10.58,,,20.34,,,,,,9.76
,10.43,,,20.35,,,,,,9.92
5.99,10.54,15.28,18.28,20.35,4.55,4.74,5.07,2.07,9.29,9.81
,10.53,,,20.35,,,,,,9.82
5.78,10.27,15.05,18.17,20.35,4.49,4.78,5.3,2.18,9.27,10.08
5.88,10.37,15.13,18.21,20.35,4.49,4.76,5.22,2.14,9.25,9.98
5.78,10.38,15.19,18.24,20.35,4.6,4.81,5.16,2.11,9.41,9.97
5.73,10.32,15.16,18.23,20.35,4.59,4.84,5.19,2.12,9.43,10.03
5.86,10.45,15.23,18.26,20.35,4.59,4.78,5.12,2.09,9.37,9.9
,10.43,,,20.35,,,,,,9.92
,10.64,,,20.35,,,,,,9.71
,10.55,,,20.35,,,,,,9.8
,10.72,,,20.35,,,,,,9.63
5.91,10.46,15.16,18.22,20.35,4.55,4.7,5.19,2.13,9.25,9.89
5.84,10.45,15.24,18.27,20.35,4.61,4.79,5.11,2.08,9.4,9.9
5.87,10.57,15.34,18.32,20.35,4.7,4.77,5.01,2.03,9.47,9.78
,10.25,15,18.14,20.35,,4.75,5.35,2.21,,10.1
,10.4,15.17,18.23,20.36,,4.77,5.19,2.13,,9.96
,10.51,,,20.36,,,,,,9.85
5.81,10.35,15.17,18.24,20.36,4.54,4.82,5.19,2.12,9.36,10.01
5.79,10.35,15.15,18.23,20.36,4.56,4.8,5.21,2.13,9.36,10.01
5.8,10.37,15.15,18.22,20.36,4.57,4.78,5.21,2.14,9.35,9.99
5.89,10.44,15.21,18.25,20.36,4.55,4.77,5.15,2.11,9.32,9.92
6,10.7,15.4,18.34,20.36,4.7,4.7,4.96,2.02,9.4,9.66
5.8,10.43,15.22,18.26,20.36,4.63,4.79,5.14,2.1,9.42,9.93
5.96,10.74,15.43,18.36,20.36,4.78,4.69,4.93,2,9.47,9.62
5.82,10.44,15.26,18.29,20.36,4.62,4.82,5.1,2.07,9.44,9.92
,10.57,15.23,18.26,20.37,,4.66,5.14,2.11,,9.8
,10.48,,,20.37,,,,,,9.89
5.84,10.35,15.17,18.24,20.37,4.51,4.82,5.2,2.13,9.33,10.02
5.88,10.4,15.22,18.27,20.37,4.52,4.82,5.15,2.1,9.34,9.97
5.86,10.37,15.13,18.22,20.37,4.51,4.76,5.24,2.15,9.27,10
,10.4,,,20.37,,,,,,9.97
5.87,10.55,15.37,18.35,20.37,4.68,4.82,5,2.02,9.5,9.82
5.95,10.53,15.22,18.25,20.37,4.58,4.69,5.15,2.12,9.27,9.84
5.89,10.55,15.33,18.33,20.38,4.66,4.78,5.05,2.05,9.44,9.83
,10.49,15.29,18.31,20.38,,4.8,5.09,2.07,,9.89
5.88,10.35,15.15,18.24,20.38,4.47,4.8,5.23,2.14,9.27,10.03
5.86,10.52,15.35,18.34,20.38,4.66,4.83,5.03,2.04,9.49,9.86
,10.7,,,20.38,,,,,,9.68
,10.6,,,20.38,,,,,,9.78
5.9,10.5,15.2,18.25,20.38,4.6,4.7,5.18,2.13,9.3,9.88
5.88,10.51,15.28,18.3,20.38,4.63,4.77,5.1,2.08,9.4,9.87
5.75,10.34,15.15,18.24,20.38,4.59,4.81,5.23,2.14,9.4,10.04
,10.48,,,20.38,,,,,,9.9
6,10.64,15.38,18.35,20.38,4.64,4.74,5,2.03,9.38,9.74
5.98,10.63,15.43,18.38,20.38,4.65,4.8,4.95,2,9.45,9.75
,10.47,,,20.39,,,,,,9.92
5.88,10.6,15.35,18.34,20.39,4.72,4.75,5.04,2.05,9.47,9.79
,10.55,,,20.39,,,,,,9.84
,10.72,15.48,18.41,20.39,,4.76,4.91,1.98,,9.67
,10.67,15.38,18.35,20.39,,4.71,5.01,2.04,,9.72
5.91,10.43,15.22,18.28,20.39,4.52,4.79,5.17,2.11,9.31,9.96
5.95,10.57,15.38,18.36,20.39,4.62,4.81,5.01,2.03,9.43,9.82
5.8,10.38,15.16,18.24,20.39,4.58,4.78,5.23,2.15,9.36,10.01
5.88,10.48,15.23,18.28,20.39,4.6,4.75,5.16,2.11,9.35,9.91
6.1,10.6,15.3,18.31,20.39,4.5,4.7,5.09,2.08,9.2,9.79
5.9,10.5,15.3,18.32,20.39,4.6,4.8,5.09,2.07,9.4,9.89
,10.6,,,20.39,,,,,,9.79
5.85,10.49,15.32,18.33,20.39,4.64,4.83,5.07,2.06,9.47,9.9
,10.54,,,20.39,,,,,,9.85
5.79,10.36,,,20.39,4.57,,,,,10.03
6.11,10.74,15.47,18.4,20.39,4.63,4.73,4.92,1.99,9.36,9.65
,10.28,15.06,18.19,20.39,,4.78,5.33,2.2,,10.11
,10.2,,,20.4,,,,,,10.2
5.95,10.65,15.44,18.4,20.4,4.7,4.79,4.96,2,9.49,9.75
5.9,10.66,15.43,18.39,20.4,4.76,4.77,4.97,2.01,9.53,9.74
5.91,10.48,15.3,18.33,20.4,4.57,4.82,5.1,2.07,9.39,9.92
5.84,10.3,15.13,18.24,20.4,4.46,4.83,5.27,2.16,9.29,10.1
,10.47,,,20.4,,,,,,9.93
5.92,10.56,15.31,18.32,20.4,4.64,4.75,5.09,2.08,9.39,9.84
5.78,10.39,15.24,18.3,20.4,4.61,4.85,5.16,2.1,9.46,10.01
,10.49,,,20.4,,,,,,9.91
5.9,10.6,15.4,18.38,20.4,4.7,4.8,5,2.02,9.5,9.8
5.92,10.58,15.33,18.33,20.4,4.66,4.75,5.07,2.07,9.41,9.82
,10.61,,,20.4,,,,,,9.79
,10.64,,,20.4,,,,,,9.76
,10.58,,,20.4,,,,,,9.82
,10.46,,,20.4,,,,,,9.94
5.84,10.43,15.25,18.3,20.4,4.59,4.82,5.15,2.1,9.41,9.97
,10.53,15.34,18.35,20.4,,4.81,5.06,2.05,,9.87
,10.54,15.31,18.33,20.41,,4.77,5.1,2.08,,9.87
,10.54,15.35,18.36,20.41,,4.81,5.06,2.05,,9.87
5.87,10.47,15.27,18.31,20.41,4.6,4.8,5.14,2.1,9.4,9.94
5.95,10.52,15.31,18.33,20.41,4.57,4.79,5.1,2.08,9.36,9.89
5.71,10.35,15.22,18.3,20.41,4.64,4.87,5.19,2.11,9.51,10.06
5.91,10.51,15.35,18.36,20.41,4.6,4.84,5.06,2.05,9.44,9.9
5.8,10.7,15.4,18.37,20.41,4.9,4.7,5.01,2.04,9.6,9.71
,10.47,,,20.41,,,,,,9.94
5.92,10.56,15.36,18.36,20.41,4.64,4.8,5.05,2.05,9.44,9.85
5.88,10.49,15.29,18.32,20.41,4.61,4.8,5.12,2.09,9.41,9.92
5.95,10.55,15.33,18.34,20.41,4.6,4.78,5.08,2.07,9.38,9.86
,10.62,,,20.42,,,,,,9.8
,10.76,,,20.42,,,,,,9.66
,10.39,,,20.42,,,,,,10.03
5.83,10.48,15.26,18.31,20.42,4.65,4.78,5.16,2.11,9.43,9.94
,10.82,,,20.42,,,,,,9.6
5.83,10.42,15.23,18.3,20.42,4.59,4.81,5.19,2.12,9.4,10
5.85,10.43,15.21,18.28,20.42,4.58,4.78,5.21,2.14,9.36,9.99
5.83,10.46,15.31,18.34,20.42,4.63,4.85,5.11,2.08,9.48,9.96
5.85,10.43,15.23,18.3,20.42,4.58,4.8,5.19,2.12,9.38,9.99
,10.3,15.31,18.37,20.43,,5.01,5.12,2.06,,10.13
,10.51,,,20.43,,,,,,9.92
5.93,10.55,15.35,18.36,20.43,4.62,4.8,5.08,2.07,9.42,9.88
,10.51,,,20.43,,,,,,9.92
,10.51,,,20.43,,,,,,9.92
,10.52,15.26,18.31,20.43,,4.74,5.17,2.12,,9.91
5.89,10.49,15.23,18.29,20.43,4.6,4.74,5.2,2.14,9.34,9.94
5.89,10.54,15.36,18.37,20.43,4.65,4.82,5.07,2.06,9.47,9.89
5.78,10.27,15.1,18.24,20.43,4.49,4.83,5.33,2.19,9.32,10.16
5.96,10.63,15.39,18.38,20.43,4.67,4.76,5.04,2.05,9.43,9.8
,10.6,,,20.43,,,,,,9.83
5.79,10.35,15.15,18.26,20.43,4.56,4.8,5.28,2.17,9.36,10.08
5.98,10.59,15.38,18.38,20.43,4.61,4.79,5.05,2.05,9.4,9.84
,10.56,,,20.43,,,,,,9.87
5.84,10.47,15.35,18.37,20.43,4.63,4.88,5.08,2.06,9.51,9.96
5.87,10.57,15.38,18.38,20.43,4.7,4.81,5.05,2.05,9.51,9.86
5.81,10.36,15.15,18.26,20.43,4.55,4.79,5.28,2.17,9.34,10.07
5.94,10.53,15.31,18.34,20.43,4.59,4.78,5.12,2.09,9.37,9.9
,10.34,15.17,18.27,20.43,,4.83,5.26,2.16,,10.09
5.75,10.37,15.18,18.28,20.44,4.62,4.81,5.26,2.16,9.43,10.07
6.02,10.68,15.4,18.39,20.44,4.66,4.72,5.04,2.05,9.38,9.76
,10.45,,,20.44,,,,,,9.99
,10.72,,,20.44,,,,,,9.72
,10.83,15.51,18.44,20.44,,4.68,4.93,2,,9.61
5.87,10.47,15.33,18.37,20.44,4.6,4.86,5.11,2.07,9.46,9.97
6.06,10.56,15.35,18.37,20.44,4.5,4.79,5.09,2.07,9.29,9.88
,10.67,,,20.44,,,,,,9.77
,10.65,,,20.44,,,,,,9.79
6,10.74,15.52,18.46,20.44,4.74,4.78,4.92,1.98,9.52,9.7
,10.55,,,20.44,,,,,,9.89
,10.92,,,20.44,,,,,,9.52
5.97,10.66,15.4,18.39,20.44,4.69,4.74,5.04,2.05,9.43,9.78
5.89,10.56,15.37,18.38,20.44,4.67,4.81,5.07,2.06,9.48,9.88
5.92,10.69,15.48,18.44,20.44,4.77,4.79,4.96,2,9.56,9.75
,10.32,15.14,18.26,20.44,,4.82,5.3,2.18,,10.12
,10.4,15.26,18.33,20.44,,4.86,5.18,2.11,,10.04
,10.28,15.14,18.27,20.44,,4.86,5.3,2.17,,10.16
,10.7,,,20.45,,,,,,9.75
5.93,10.65,15.37,18.37,20.45,4.72,4.72,5.08,2.08,9.44,9.8
,10.48,,,20.45,,,,,,9.97
5.97,10.58,15.3,18.34,20.45,4.61,4.72,5.15,2.11,9.33,9.87
5.91,10.45,15.25,18.32,20.45,4.54,4.8,5.2,2.13,9.34,10
5.94,10.6,15.4,18.4,20.45,4.66,4.8,5.05,2.05,9.46,9.85
5.93,10.56,15.3,18.34,20.45,4.63,4.74,5.15,2.11,9.37,9.89
5.9,10.5,15.3,18.35,20.45,4.6,4.8,5.15,2.1,9.4,9.95
5.85,10.48,15.31,18.36,20.45,4.63,4.83,5.14,2.09,9.46,9.97
,10.42,,,20.46,,,,,,10.04
,10.42,,,20.46,,,,,,10.04
,10.49,,,20.46,,,,,,9.97
5.9,10.55,15.34,18.37,20.46,4.65,4.79,5.12,2.09,9.44,9.91
5.96,10.59,15.4,18.41,20.46,4.63,4.81,5.06,2.05,9.44,9.87
5.88,10.53,15.3,18.35,20.46,4.65,4.77,5.16,2.11,9.42,9.93
5.85,10.44,15.22,18.31,20.46,4.59,4.78,5.24,2.15,9.37,10.02
5.87,10.57,15.4,18.41,20.46,4.7,4.83,5.06,2.05,9.53,9.89
5.9,10.6,15.4,18.4,20.46,4.7,4.8,5.06,2.06,9.5,9.86
5.9,10.6,15.4,18.4,20.46,4.7,4.8,5.06,2.06,9.5,9.86
6.05,10.63,15.43,18.42,20.46,4.58,4.8,5.03,2.04,9.38,9.83
,10.64,,,20.46,,,,,,9.82
5.92,10.74,15.48,18.44,20.46,4.82,4.74,4.98,2.02,9.56,9.72
5.9,10.63,15.39,18.39,20.46,4.73,4.76,5.07,2.07,9.49,9.83
5.92,10.53,15.37,18.39,20.46,4.61,4.84,5.09,2.07,9.45,9.93
,10.39,,,20.47,,,,,,10.08
,10.42,,,20.47,,,,,,10.05
,10.49,,,20.47,,,,,,9.98
,10.7,,,20.47,,,,,,9.77
,10.67,15.44,18.43,20.47,,4.77,5.03,2.04,,9.8
5.86,10.43,15.27,18.35,20.47,4.57,4.84,5.2,2.12,9.41,10.04
5.88,10.48,15.32,18.37,20.47,4.6,4.84,5.15,2.1,9.44,9.99
5.9,10.5,15.4,18.42,20.47,4.6,4.9,5.07,2.05,9.5,9.97
5.95,10.59,15.39,18.4,20.47,4.64,4.8,5.08,2.07,9.44,9.88
,10.55,,,20.47,,,,,,9.92
,10.51,,,20.47,,,,,,9.96
5.86,10.53,15.35,18.39,20.47,4.67,4.82,5.12,2.08,9.49,9.94
5.77,10.37,15.25,18.34,20.47,4.6,4.88,5.22,2.13,9.48,10.1
5.83,10.45,15.31,18.37,20.47,4.62,4.86,5.16,2.1,9.48,10.02
